"GENE","FC","log2(FC)","raw.pval","-log10(p)"
"Q0VG47",0.95214,-0.070762,0.82935,0.081264
"Q9CT19",0.94923,-0.075168,0.82983,0.081011
"Q6PDN3",0.98579,-0.020647,0.83083,0.080488
"Q9JMG7",0.97279,-0.039796,0.83143,0.080172
"P59999",0.94444,-0.082471,0.83156,0.080108
"E9Q616",0.96086,-0.0576,0.83353,0.079079
"D3YXK2",0.9119,-0.13306,0.84015,0.075644
"Q3U4Y0",0.9553,-0.065972,0.84313,0.074107
"F6VQ81",1.126,0.17121,0.84406,0.073628
"P16546",1.0283,0.040311,0.84608,0.072591
"Q6ZWQ9",1.0025,0.0036738,0.84614,0.07256
"Q3U367",1.0119,0.017016,0.84628,0.072488
"A0A1D5RME4",1.0398,0.056291,0.8472,0.072012
"Q80V08",1.0672,0.093891,0.85043,0.070363
"Q8K2B3",1.0663,0.092648,0.85065,0.07025
"Q8CGK3",1.0403,0.056958,0.85078,0.070183
"Q9D172",0.99563,-0.0063247,0.85395,0.068568
"Q3UJI2",0.88272,-0.17997,0.8567,0.067169
"Q5FWB6",1.0484,0.068127,0.86068,0.065159
"Q8VC94",1.1336,0.18097,0.86084,0.065076
"A0A0A0MQM0",0.97411,-0.037842,0.86464,0.063165
"Q91VB8",0.94312,-0.084483,0.86518,0.062896
"Q7TMX2",1.08,0.111,0.86618,0.062394
"P45952",1.0183,0.026196,0.86728,0.061841
"Q99LC5",0.9898,-0.014789,0.86761,0.061674
"O54724",1.0975,0.13417,0.8677,0.06163
"A0A1B0GSG5",0.97537,-0.035977,0.86851,0.061227
"Q60864",1.0252,0.03592,0.87341,0.058783
"Q8BNA5",1.014,0.020011,0.87494,0.058024
"P37804",1.1369,0.18511,0.87531,0.05784
"Q9QWL7",1.1935,0.25524,0.8756,0.057694
"Q04447",1.1116,0.1526,0.88304,0.054022
"Q3UJS0",0.97163,-0.041517,0.88525,0.052934
"P14148",1.0448,0.063277,0.89218,0.049546
"Q3TIQ2",0.98193,-0.026304,0.89268,0.049305
"P62900",0.98567,-0.020828,0.89307,0.049114
"P21981",1.3853,0.47017,0.90133,0.045114
"Q3U9N8",0.91882,-0.12215,0.90169,0.044941
"P54071",1.0548,0.076981,0.90585,0.042945
"Q9JL35",0.9517,-0.07142,0.90804,0.041894
"P43274",0.97431,-0.037542,0.91464,0.038752
"B2RXY7",0.98231,-0.025745,0.92016,0.036137
"D3YVR4",0.82168,-0.28334,0.92134,0.035578
"Q9WV55",0.94474,-0.082009,0.92188,0.035325
"O88844",1.1112,0.15212,0.92276,0.03491
"Q3U8W0",0.92623,-0.11056,0.92381,0.034418
"P10605",1.0079,0.011349,0.92467,0.034011
"Q8VIJ6",0.97546,-0.035843,0.92871,0.032118
"A0A1B0GX27",0.96033,-0.058403,0.92904,0.031965
"B2RSH3",1.0426,0.060202,0.92912,0.031928
"Q5BLJ7",1.1806,0.23948,0.93143,0.030851
"O09131",1.0364,0.051641,0.93232,0.030433
"Q8CE30",0.94422,-0.082799,0.93403,0.029638
"Q9CPY7",1.0029,0.0042404,0.93629,0.02859
"Q545F8",1.0875,0.121,0.93787,0.027856
"Q5U222",1.1229,0.16722,0.93862,0.02751
"Q3U9P7",0.93207,-0.10149,0.93923,0.027228
"Q9D2G2",1.0539,0.075687,0.93961,0.027054
"Q9CQI7",0.98597,-0.020388,0.94223,0.025842
"Q3UZH3",1.3871,0.47207,0.9423,0.02581
"Q9DB77",1.0011,0.0015263,0.94411,0.024977
"P62317",0.96815,-0.046694,0.94422,0.024925
"Q3UFZ6",0.8241,-0.27911,0.94564,0.024273
"Q91YR9",0.96662,-0.048985,0.95031,0.022134
"P16015",1.1,0.13752,0.95036,0.02211
"Q52KG9",1.1604,0.21462,0.9538,0.020541
"B1Q450",0.99387,-0.0088774,0.95384,0.020524
"Q542X7",1.0225,0.03217,0.95471,0.02013
"Q8CBC8",1.0149,0.021341,0.95825,0.018521
"Q64471",0.96434,-0.05239,0.95832,0.018488
"Q9Z2T6",1.0565,0.079327,0.96005,0.017706
"Q9QZ82",1.0288,0.041024,0.96166,0.016977
"P09411",1.0412,0.05827,0.96478,0.015571
"P97371",1.0015,0.0022002,0.96649,0.014801
"Q3UGR6",1.0152,0.021724,0.96692,0.014608
"Q3UKH3",0.90849,-0.13846,0.96714,0.014512
"Q3U9M7",1.0155,0.02222,0.96841,0.013942
"P99024",1.0433,0.06114,0.96896,0.013696
"Q8K183",1.2356,0.30517,0.97568,0.010693
"P35700",0.96842,-0.04629,0.97664,0.010266
"Q9CR57",0.97042,-0.043313,0.9822,0.0078004
"P47911",1.0027,0.0039416,0.98612,0.0060683
"Q6ZWZ4",1.1654,0.22088,0.98907,0.0047748
"P48024",1.0132,0.018862,0.99188,0.0035406
"Q3UB67",1.0017,0.0025194,0.99745,0.0011096
